"chrom_peak_id","sample","mz","rt","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","score","ppm_error","target_theo_logP","polarity","mixture","adduct_mz","adduct_formula","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions"
"CP102481",2,145.097472086871,22.9072487223476,21.0160487223476,26.5226487223796,17963.1713141911,"L-lysine","CHEBI:18019","KDXKERNSBIXSRK-YFKPBYRVSA-N","C6H14N2O2",146.105527688,"[M-H]-",-0.000779601129352159,5.37291883453227,-2.949,"neg","1.1",145.098251688,"C6H13N2O2",2,2,3,0.9888708529947,5,0,0,0,1
"CP012004",1,118.072185042356,103.116036585498,99.6201760417269,106.56454430646,900.24518411045,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M+H]+",-0.0140695496441197,119.146378998397,-2.169,"pos","1.1",118.086254592,"C5H12NO2",1,0,0,0,1,0,0,454.758358845967,3
"CP012139",1,118.064255196738,187.492908932049,185.472531409006,190.249894717386,3534.63533593261,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M+H]+",-0.0219993952621991,186.299373607955,-2.169,"pos","1.1",118.086254592,"C5H12NO2",2,0,1,0.939503592489177,3,1,0,556.72704210433,4
"CP193143",1,140.081094004904,0.0533959131020377,-0.492204086877962,5.71199591310204,1375.57991445822,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M+Na]+",0.0128954129038164,92.0652441699416,-2.169,"pos","1.1",140.068198592,"C5H11NO2Na",0,0,0,0,0,0,0,0,1
"CP102803",2,116.070864312419,28.5355620405068,26.5226487223796,32.1668016607657,2584.34833933021,"L-valine","CHEBI:16414","KZSNJWFQEVHDMF-BYPYZUCNSA-N","C5H11NO2",117.078978592,"[M-H]-",-0.000838279581444112,7.22208395952218,-2.169,"neg","1.1",116.071702592,"C5H10NO2",2,1,2,0.990463451863473,2,0,0,172.655399266347,2
"CP011836",1,186.05447518816,40.8017721320899,37.2779575961463,45.4473377116586,3016.43730429679,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M+Na]+",0.0349410401600778,187.835327725733,-2.299,"pos","1.1",186.019534148,"C5H9NO3SNa",2,0,0,0,8,0,0,322.951481955522,1
"CP011895",1,164.037010570098,51.9034571748236,50.0442563790559,54.0222706906725,1607.21863879623,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M+H]+",-0.000579577902271922,3.53320176033437,-2.299,"pos","1.1",164.037590148,"C5H10NO3S",6,2,4,0.901626963582179,2,1,1,378.321482168685,2
"CP011896",1,186.018924131685,51.9034571748236,50.0442563790559,54.7005280343994,1917.48335072665,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M+Na]+",-0.000610016315107487,3.27931320708581,-2.299,"pos","1.1",186.019534148,"C5H9NO3SNa",6,2,3,0.896241811961512,5,0,0,378.321482168685,2
"CP104048",2,162.022356110738,51.08375394594,45.6480573452226,58.4816913214542,39101.0432653112,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M-H]-",-0.000682037262350832,4.20950792027381,-2.299,"neg","1.1",162.023038148,"C5H8NO3S",3,1,4,0.91536422513374,2,0,0,367.132488088897,2
"CP104216",2,162.022215830236,92.0013094227383,88.6216011850765,97.9254600537998,4603.06813586981,"N-acetyl-L-cysteine","CHEBI:28939","PWKSKIMOESPYIA-BYPYZUCNSA-N","C5H9NO3S",163.030314148,"[M-H]-",-0.000822317764146874,5.07531381676553,-2.299,"neg","1.1",162.023038148,"C5H8NO3S",1,1,3,0.92451499373989,6,0,0,443.378807238543,3
