"chrom_peak_id","mzmin","mzmax","rtmin","rtmax","into","target_ChEBI.name","target_ChEBI","target_InChIKey","target_formula","target_M","adduct","mixture","ms1_adduct_count","ms1_adduct_05_count","isopeak_count","isopeak_sim","ms2_count","ms2_matched_count","ms2_true_count","RTI","rt_regions","rtmed","mzmed","number_of_peaks"
"CP130629",192.086015830613,192.135227353701,510.41836815253,520.705324315702,9403.90063638901,"(5-hydroxyindol-3-yl)acetic acid","CHEBI:27823","DUUGKQCEGZLZNO-UHFFFAOYSA-N","C10H9NO3",191.058243148,"[M+H]+","2_10",5,0,0,0,0,0,0,"1746.49811525726",13,515.907978064427,192.10957503488,1
"CP104980|CP104643",474.170581846779,474.179873443759,22.5138829793438,34.8155276918893,648429.204302761,"(6S)-5-formyltetrahydrofolic acid","CHEBI:63606","VVIAGPKUTFNRDU-STQMWFEESA-N","C20H23N7O7",473.165896075999,"[M+H]+|[M+Na]+","1_6",22,4,2,0.772825028374258,1,0,0,"204.962911333282|204.962911333282",1,27.2993857875808,485.162925980442,2
"CP105099",474.167206715053,474.205482738611,101.003928284377,108.760972259796,4095.81477072385,"(6S)-5-formyltetrahydrofolic acid","CHEBI:63606","VVIAGPKUTFNRDU-STQMWFEESA-N","C20H23N7O7",473.165896075999,"[M+H]+","1_6",2,0,0,0,0,0,0,"471.771912056248",2,104.197744166249,474.178364246098,1
"CP105100",474.157590944995,474.192374755646,108.760972259796,120.488153908133,7335.13869115781,"(6S)-5-formyltetrahydrofolic acid","CHEBI:63606","VVIAGPKUTFNRDU-STQMWFEESA-N","C20H23N7O7",473.165896075999,"[M+H]+","1_6",2,1,1,0.772790682059342,3,0,0,"503.6660549684",3,115.149436211512,474.176253823179,1
"CP736811|CP105450|CP105597|CP486450",472.134918212891,472.170745849609,141.01016347647,178.431859514001,2043161.7250116,"(6S)-5-formyltetrahydrofolic acid","CHEBI:63606","VVIAGPKUTFNRDU-STQMWFEESA-N","C20H23N7O7",473.165896075999,"[M-H]-|[M+Na]+|[M+H]+|[M+CHO2]-","1_6",31,10,4,0.769954745265784,16,0,0,"560.395121800212|556.944594165102|556.944594165102|562.132113254096",4,156.840024924773,490.151614927501,4
"CP390213",770.498962498143,770.547133446213,352.513862049366,357.545456405161,8178.2614140237,"(R)-1,2-distearoylphosphatidylethanolamine","CHEBI:47766","LVNGJLRDBYCPGB-LDLOPFEMSA-N","C41H82NO8P",747.577805214,"[M+Na]+","3_3",3,0,0,0,0,0,0,"1126.43533819181",1,354.343884434044,770.526535986596,1
"CP391477",770.500616205518,770.589901959843,391.699650808599,396.04367728604,7945.30873793158,"(R)-1,2-distearoylphosphatidylethanolamine","CHEBI:47766","LVNGJLRDBYCPGB-LDLOPFEMSA-N","C41H82NO8P",747.577805214,"[M+Na]+","3_3",4,0,0,0,0,0,0,"1288.3065692126",2,393.757059344105,770.563377445553,1
"CP532390|CP186522|CP186520|CP185874|CP532483|CP185876",182.081708511252,182.082639675524,21.0190217571846,43.5584458864359,61030.532815319,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3",183.089543276,"[M-H]-|[M+H]+|[M+H]+|[M+Na]+|[M+CHO2]-|[M+Na]+","2_3",37,4,2,0.299219591974518,1,0,0,"0|237.816467591472|0|0|0|0",1,28.6831116754062,198.422321486182,6
"CP186521",184.057222898147,184.07875403358,48.8111148892974,55.6518114642305,4802.4776702256,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3",183.089543276,"[M+H]+","2_3",3,0,0,0,0,0,0,"295.884873259109",2,53.3698335338642,184.068964177159,1
"CP534097",228.079498153249,228.092668113049,89.1180821142099,97.3590128180707,2693.7090700419,"(R)-adrenaline","CHEBI:28918","UCTWMZQNUQWSLP-VIFPVBQESA-N","C9H13NO3",183.089543276,"[M+CHO2]-","2_3",3,0,0,0,0,0,0,"478.89766955017",3,95.2987263214187,228.085119842097,1
